Justin Holiday\holidju01,SG,31,IND,37,28,32.3,3.9,8.8,.442,2.5,6.2,.398,1.4,2.6,.547,.583,1.2,1.4,.827,0.6,3.3,3.9,1.7,1.2,0.4,0.8,2.2,11.4
Dāvis Bertāns\bertada01,PF,28,WAS,32,3,25.4,3.3,8.5,.388,2.9,7.5,.382,0.4,1.0,.438,.557,1.8,2.1,.853,0.4,2.6,3.0,0.9,0.6,0.2,0.6,2.5,11.3
Joe Ingles\inglejo01,SF,33,UTA,34,9,26.5,3.9,7.6,.521,2.4,5.3,.461,1.5,2.3,.662,.683,1.0,1.1,.895,0.4,2.9,3.4,4.4,0.4,0.3,1.6,1.8,11.3
Lonnie Walker\walkelo01,SG,22,SAS,33,27,26.6,4.2,10.3,.413,1.7,4.8,.361,2.5,5.5,.459,.497,1.0,1.3,.791,0.2,2.6,2.8,1.7,0.5,0.4,1.1,2.0,11.2
Rudy Gay\gayru01,PF,34,SAS,29,0,21.8,4.0,9.8,.411,1.6,4.3,.376,2.4,5.5,.438,.493,1.4,1.8,.804,0.9,4.2,5.1,1.5,0.8,0.5,1.1,1.7,11.1
Serge Ibaka\ibakase01,C,31,LAC,39,39,23.6,4.5,8.9,.507,1.0,2.8,.352,3.5,6.1,.577,.562,0.9,1.2,.822,1.7,4.9,6.7,1.7,0.2,1.2,1.1,1.9,10.9
Bobby Portis\portibo01,C,25,MIL,38,2,21.5,4.6,8.5,.540,1.1,2.3,.488,3.5,6.2,.559,.606,0.7,0.9,.714,1.8,5.2,7.0,1.1,0.8,0.4,0.8,1.9,10.9
Brook Lopez\lopezbr01,C,32,MIL,38,38,27.0,4.0,8.5,.467,1.6,4.5,.345,2.4,4.0,.605,.559,1.3,1.7,.810,1.4,3.7,5.0,0.7,0.5,1.4,0.9,2.1,10.8
Cedi Osman\osmande01,SF,25,CLE,37,15,25.8,3.8,10.4,.366,1.9,6.0,.326,1.9,4.4,.421,.460,1.2,1.5,.796,0.7,2.9,3.6,2.6,0.9,0.2,1.1,2.0,10.7
Wayne Ellington\ellinwa01,SG,33,DET,30,25,23.2,3.6,8.1,.446,2.7,6.4,.422,0.9,1.7,.540,.614,0.7,0.9,.741,0.3,1.5,1.8,1.4,0.4,0.2,0.7,1.5,10.6
